Key,Value
1237,"Fortify Personality[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Increases target's Personality.[/center]
Target will gain %1bm to %2bm points of Personality[/center]
plus %1am to %2am points for every %clm level(s)[/center]
of the caster. Increase lasts %bdr round(s), plus %adr round(s)[/center]
for every %cld level(s) of caster.""[/center]
[/end]"
1238,"Fortify Speed[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Increases target's Speed.[/center]
Target will gain %1bm to %2bm points of Speed[/center]
plus %1am to %2am points for every %clm level(s)[/center]
of the caster. Increase lasts %bdr round(s), plus %adr round(s)[/center]
for every %cld level(s) of caster.""[/center]
[/end]"
1239,"Fortify Luck[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Increases target's Luck.[/center]
Target will gain %1bm to %2bm points of Luck[/center]
plus %1am to %2am points for every %clm level(s)[/center]
of the caster. Increase lasts %bdr round(s), plus %adr round(s)[/center]
for every %cld level(s) of caster.""[/center]
[/end]"
1240,"Heal Strength[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Heals target's Strength.[/center]
Target will heal %1bm to %2bm points of Strength,[/center]
plus %1am to %2am points for every %clm level(s)[/center]
of the caster until target's Strength[/center]
is at its normal level.""[/center]
[/end]"
1241,"Heal Intelligence[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Heals target's Intelligence.[/center]
Target will heal %1bm to %2bm points of Intelligence,[/center]
plus %1am to %2am points for every %clm level(s)[/center]
of the caster until target's Intelligence[/center]
is at its normal level.""[/center]
[/end]"
1242,"Heal Willpower[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Heals target's Willpower.[/center]
Target will heal %1bm to %2bm points of Willpower,[/center]
plus %1am to %2am points for every %clm level(s)[/center]
of the caster until target's Willpower[/center]
is at its normal level.""[/center]
[/end]"
1243,"Heal Agility[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Heals target's Agility.[/center]
Target will heal %1bm to %2bm points of Agility,[/center]
plus %1am to %2am points for every %clm level(s)[/center]
of the caster until target's Agility[/center]
is at its normal level.""[/center]
[/end]"
1244,"Heal Endurance[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Heals target's Endurance.[/center]
Target will heal %1bm to %2bm points of Endurance,[/center]
plus %1am to %2am points for every %clm level(s)[/center]
of the caster until target's Endurance[/center]
is at its normal level.""[/center]
[/end]"
1245,"Heal Personality[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Heals target's Personality.[/center]
Target will heal %1bm to %2bm points of Personality,[/center]
plus %1am to %2am points for every %clm level(s)[/center]
of the caster until target's Personality[/center]
is at its normal level.""[/center]
[/end]"
1246,"Heal Speed[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Heals target's Speed.[/center]
Target will heal %1bm to %2bm points of Speed,[/center]
plus %1am to %2am points for every %clm level(s)[/center]
of the caster until target's Speed[/center]
is at its normal level.""[/center]
[/end]"
1247,"Heal Luck[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Heals target's Luck.[/center]
Target will heal %1bm to %2bm points of Luck,[/center]
plus %1am to %2am points for every %clm level(s)[/center]
of the caster until target's Luck[/center]
is at its normal level.""[/center]
[/end]"
1248,"Heal Health[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Heals target's Health.[/center]
Target will heal %1bm to %2bm points of Health,[/center]
plus %1am to %2am points for every %clm level(s)[/center]
of the caster until target's Health[/center]
is at its normal level.""[/center]
[/end]"
1249,"Heal Fatigue[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Heals target's Fatigue.[/center]
Target will heal %1bm to %2bm points of Fatigue,[/center]
plus %1am to %2am points for every %clm level(s)[/center]
of the caster until target's Fatigue[/center]
is at its normal level.""[/center]
[/end]"
1250,"Transfer Strength[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Transfers target's Strength to caster.[/center]
Target will transfer %1bm to %2bm points of Strength,[/center]
plus %1am to %2am points for every %clm level(s)[/center]
of the caster.""[/center]
[/end]"
1251,"Transfer Intelligence[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Transfers target's Intelligence to caster.[/center]
Target will transfer %1bm to %2bm points of Intelligence,[/center]
plus %1am to %2am points for every %clm level(s)[/center]
of the caster.""[/center]
[/end]"
1252,"Transfer Willpower[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Transfers target's Willpower to caster.[/center]
Target will transfer %1bm to %2bm points of Willpower,[/center]
plus %1am to %2am points for every %clm level(s)[/center]
of the caster.""[/center]
[/end]"
1253,"Transfer Agility[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Transfers target's Agility to caster.[/center]
Target will transfer %1bm to %2bm points of Agility,[/center]
plus %1am to %2am points for every %clm level(s)[/center]
of the caster.""[/center]
[/end]"
1254,"Transfer Endurance[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Transfers target's Endurance to caster.[/center]
Target will transfer %1bm to %2bm points of Endurance,[/center]
plus %1am to %2am points for every %clm level(s)[/center]
of the caster.""[/center]
[/end]"
1255,"Transfer Personality[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Transfers target's Personality to caster.[/center]
Target will transfer %1bm to %2bm points of Personality,[/center]
plus %1am to %2am points for every %clm level(s)[/center]
of the caster.""[/center]
[/end]"
1256,"Transfer Speed[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Transfers target's Speed to caster.[/center]
Target will transfer %1bm to %2bm points of Speed,[/center]
plus %1am to %2am points for every %clm level(s)[/center]
of the caster.""[/center]
[/end]"
1257,"Transfer Luck[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Transfers target's Luck to caster.[/center]
Target will transfer %1bm to %2bm points of Luck,[/center]
plus %1am to %2am points for every %clm level(s)[/center]
of the caster.""[/center]
[/end]"
1258,"Transfer Health[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Transfers target's Health to caster.[/center]
Target will transfer %1bm to %2bm points of Health,[/center]
plus %1am to %2am points for every %clm level(s)[/center]
of the caster.""[/center]
[/end]"
1259,"Transfer Fatigue[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Transfers target's Fatigue to caster.[/center]
Target will transfer %1bm to %2bm points of Fatigue,[/center]
plus %1am to %2am points for every %clm level(s)[/center]
of the caster.""[/center]
[/end]"
1260,"Invisibility (Normal)[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Turns target invisible.[/center]
Target will remain invisible for %bdr round(s),[/center]
plus %adr round(s) for every %cld level(s) of caster.[/center]
If target attacks something, invisibility is dispelled.""[/center]
[/end]"
1261,"Invisibility (True)[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Turns target invisible. Target will remain invisible for %bdr round(s),[/center]
plus %adr round(s) for every %cld level(s) of caster.[/center]
If target attacks something, target will still remain invisible.""[/center]
[/end]"
1262,"Levitate[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Target is able to float above the ground.[/center]
Target will levitate for %bdr round(s), plus %adr round(s)[/center]
for every %cld level of caster.""[/center]
[/end]"
1263,"Light[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Bright light source created around target.[/center]
Light will remain for %bdr round(s), plus %adr round(s)[/center]
for every %cld level of caster.""[/center]
[/end]"
1264,"Lock[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: N/A + N/A per N/A level(s)[/center]
""Locks chest or door to a lock-level equal to the caster's level.[/center]
Spell lasts %bdr round(s), plus %adr round(s) per %cld level(s)[/center]
of caster. Base chance of success is %bch,[/center]
plus %ach for every %clc level(s) of the caster.""[/center]
[/end]"
1265,"Open[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: N/A + N/A per N/A level(s)[/center]
""Opens chest or door with lock-level equal to or less than[/center]
the caster's level. Base chance of success is %bch,[/center]
plus %ach for every %clc level(s) of the caster.""[/center]
[/end]"
1266,"Regeneration[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Regenerates target's Health. Target will gain %1bm to %2bm[/center]
points of Health plus %1am to %2am points[/center]
for every %clm level(s) of the caster.  Increases continue[/center]
%bdr round(s), plus %adr round(s) for every[/center]
%cld level(s) of caster.""[/center]
[/end]"
1267,"Silence[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Silences target, making casting spells impossible.[/center]
Base chance of success is %bch, plus %ach every %clc level(s)[/center]
of the caster. Silence lasts %bdr round(s), plus[/center]
%adr round(s) for every %cld level(s) of caster.""[/center]
[/end]"
1268,"Spell Absorption[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Target is able to absorb incoming spells, adding their[/center]
energy to his or her own store. Base chance of success[/center]
is %bch, plus %ach every %clc level(s) of the caster.[/center]
Absorption lasts %bdr round(s), plus %adr round(s) for[/center]
every %cld level(s) of caster.""[/center]
[/end]"
1269,"Spell Reflection[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Target is able to reflect incoming spells back at the caster.[/center]
Base chance of success is %bch, plus %ach every %cld level(s)[/center]
of the caster. Reflection lasts %bdr round(s), plus %adr round(s)[/center]
for every %cld level(s) of caster.""[/center]
[/end]"
1270,"Spell Resistance[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Target is able to resist incoming spells. Base chance of[/center]
success is %bch, plus %ach every %clc level(s) of the caster.[/center]
Resistance lasts %bdr round(s), plus %adr round(s) for[/center]
every %cld level(s) of caster.""[/center]
[/end]"
1271,"Chameleon (Normal)[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Makes target very difficult to see. Target will remain[/center]
so for %bdr round(s), plus %adr round(s) for every %cld level[/center]
of caster. If target attacks something,[/center]
chameleon spell is aborted.""[/center]
[/end]"
1272,"Chameleon (True)[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Makes target very difficult to see. Target will remain[/center]
so for %bdr round(s), plus %adr round(s) for every[/center]
%cld level(s) of caster.""[/center]
[/end]"
1273,"Shadow (Normal)[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Causes target to meld into normal shadows. Target will[/center]
remain so for %bdr round(s), plus %adr round(s) for every[/center]
%cld level(s) of caster. If target attacks something,[/center]
shadow spell is aborted.""[/center]
[/end]"
1274,"Shadow (True)[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Causes target to meld into normal shadows. Target will[/center]
remain so for %bdr round(s), plus %adr round(s) for every[/center]
%cld level(s) of caster.""[/center]
[/end]"
1275,"Slowfall (Normal, Trigger)[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Causes target to fall at half the natural rate,[/center]
greatly reducing damage. After being cast, spell will[/center]
remain active for %bdr round(s), plus %adr round(s)[/center]
for every %cld level(s) of caster, and will trigger when[/center]
target starts to fall.""[/center]
[/end]"
1276,"Free Action[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: N/A + N/A per N/A level(s)[/center]
""Cures the target of paralysis for %bdr round(s),[/center]
plus %adr round(s) for every %cld level(s) of the caster.""[/center]
[/end]"
1277,"Jumping[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Causes target to jump at twice natural capacity.[/center]
After being cast, spell remains active for %bdr round(s),[/center]
plus %adr round(s) for every %cld level(s) of caster,[/center]
and will trigger when target jumps.""[/center]
[/end]"
1278,"Climbing[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Causes target to climb at twice the natural rate.[/center]
After being cast, spell remains active for %bdr round(s),[/center]
plus %adr round(s) for every %cld level(s) of caster,[/center]
and will trigger when target begins to climb.""[/center]
[/end]"
1279,"Morph Self[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Causes target to transform into a creature or object[/center]
selected by the caster. The base chance of successfully[/center]
polymorphing is %bch, plus %ach for every %clc level(s) of[/center]
the caster. Transformation lasts %bdr round(s),[/center]
plus %adr round(s) for every %cld level(s) of the caster.""[/center]
[/end]"
1280,"Morph Other[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Causes target to transform into a creature or object[/center]
selected by the caster. The base chance of successfully[/center]
polymorphing is %bch, plus %ach for every %clc level(s) of[/center]
the caster. Transformation lasts %bdr round(s),[/center]
plus %adr round(s) for every %cld level(s) of the caster.""[/center]
[/end]"
1281,"Morph Item[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Causes target to transform into a creature or object[/center]
selected by the caster. The base chance of successfully[/center]
polymorphing is %bch, plus %ach for every %clc level(s) of[/center]
the caster. Transformation lasts %bdr round(s),[/center]
plus %adr round(s) for every %cld level(s) of the caster.""[/center]
[/end]"
1282,"Water Breathing[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: N/A + N/A per N/A level(s)[/center]
""Causes target to be able to breathe normally under water.[/center]
The base chance of successfully casting is %bch,[/center]
plus %ach for every %clc level(s) of the caster.[/center]
Water breathing lasts %bdr round(s), plus %adr round(s)[/center]
for every %cld level(s) of the caster.""[/center]
[/end]"
1283,"Water Walking[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: N/A + N/A per N/A level(s)[/center]
""Allows target to walk on water. After being cast,[/center]
spell will remain active for %bdr round(s), plus %adr round(s)[/center]
for every %cld level(s) of caster.""[/center]
[/end]"
1284,"Diminution[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: N/A + N/A per N/A level(s)[/center]
""Causes target to shrink to half its normal size.[/center]
Base chance for success is %bch, plus an additional[/center]
%ach for every %clc level(s) of the caster.[/center]
Dimunization will last for %bdr round(s),[/center]
plus %adr round(s) for every %cld level(s) of caster.""[/center]
[/end]"
1285,"Pacify Animal[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: N/A + N/A per N/A level(s)[/center]
""Pacifies any living beast of subhumanoid intelligence.[/center]
Base chance for success is %bch, plus an additional[/center]
%ach for every %clc level(s) of the caster.[/center]
Pacification will last for %bdr round(s), plus %adr round(s)[/center]
for every %cld level(s) of caster.""[/center]
[/end]"
1286,"Pacify Undead[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: N/A + N/A per N/A level(s)[/center]
""Pacifies undead creatures. Base chance for success[/center]
is %bch, plus an additional %ach for every %clc[/center]
level(s) of the caster. Pacification will last[/center]
for %bdr round(s), plus %adr round(s)[/center]
for every %cld level(s) of caster.""[/center]
[/end]"
1287,"Pacify Humanoid[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: N/A + N/A per N/A level(s)[/center]
""Pacifies humanoid creatures. Base chance for success[/center]
is %bch, plus an additional %ach for every %clc[/center]
level(s) of the caster. Pacification will last[/center]
for %bdr round(s), plus %adr round(s)[/center]
for every %cld level(s) of caster.""[/center]
[/end]"
1288,"Pacify Daedra[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: N/A + N/A per N/A level(s)[/center]
""Pacifies Daedra. Base chance for success[/center]
is %bch, plus an additional %ach for every %clc[/center]
level(s) of the caster. Pacification will last[/center]
for %bdr round(s), plus %adr round(s)[/center]
for every %cld level(s) of caster.""[/center]
[/end]"
1289,"Charm[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: N/A + N/A per N/A level(s)[/center]
""Raises caster's charm with target, thereby improving[/center]
caster's reputation. Base chance for success is %bch,[/center]
plus an additional %ach for every %clc level(s) of the caster.[/center]
Charm will last for %bdr round(s), plus %adr round(s)[/center]
for every %cld level(s) of caster.""[/center]
[/end]"
1290,"Shield[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: N/A + N/A per N/A level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Creates shield around caster that absorbs the  equivalent[/center]
of %1bm - %2bm Health Points, plus %1am - %2am Health[/center]
Points every %clm level(s) of the caster. When shield[/center]
has taken its maximum damage, or %bdr plus %adr for every[/center]
%cld level(s) of caster rounds has elapsed,[/center]
shield will be dispelled.""[/center]
[/end]"
1291,"Shield[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: N/A + N/A per N/A level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Creates shield around caster that absorbs the  equivalent[/center]
of %1bm - %2bm Health Points, plus %1am - %2am Health[/center]
Points every %clm level(s) of the caster. When shield[/center]
has taken its maximum damage, or %bdr plus %adr for every[/center]
%cld level(s) of caster rounds has elapsed,[/center]
shield will be dispelled.""[/center]
[/end]"
1292,"Shield[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: N/A + N/A per N/A level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Creates shield around caster that absorbs the  equivalent[/center]
of %1bm - %2bm Health Points, plus %1am - %2am Health[/center]
Points every %clm level(s) of the caster. When shield[/center]
has taken its maximum damage, or %bdr plus %adr for every[/center]
%cld level(s) of caster rounds has elapsed,[/center]
shield will be dispelled.""[/center]
[/end]"
1293,"Shield[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: N/A + N/A per N/A level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Creates shield around caster that absorbs the  equivalent[/center]
of %1bm - %2bm Health Points, plus %1am - %2am Health[/center]
Points every %clm level(s) of the caster. When shield[/center]
has taken its maximum damage, or %bdr plus %adr for every[/center]
%cld level(s) of caster rounds has elapsed,[/center]
shield will be dispelled.""[/center]
[/end]"
1294,"Astral Travel[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: N/A + N/A per N/A level(s)[/center]
""Sends caster to the Astral Plane. Chance of success[/center]
is %bch, plus %ach every %clc level(s) of the caster.[/center]
Caster will remain in the Astral Plane for %bdr round(s),[/center]
plus %adr round(s) for every %cld level(s) of caster.""[/center]
[/end]"
1295,"Etherealness[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: N/A + N/A per N/A level(s)[/center]
""Turns caster ethereal, thus able to walk through[/center]
walls. Chance of success is %bch, plus %ach every[/center]
%clc level(s) of the caster. Caster will remain[/center]
ethereal for %bdr round(s), plus %adr round(s) for[/center]
every %cld level(s) of caster.""[/center]
[/end]"
1296,"Detect Magic[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: N/A + N/A per N/A level(s)[/center]
""Caster is able to detect all magic in a 30' cone[/center]
projected from caster. Chance of success is %bch,[/center]
plus %ach every %cld level(s) of the caster. Spell[/center]
will remain active for %bdr round(s), plus %adr round(s)[/center]
for every %cld level(s) of caster.""[/center]
[/end]"
1297,"Detect Enemy[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: N/A + N/A per N/A level(s)[/center]
""Caster is able to detect all enemies in a 30' cone[/center]
projected from caster. Chance of success is %bch,[/center]
plus %ach every %cld level(s) of the caster. Spell[/center]
will remain active for %bdr round(s), plus %adr round(s)[/center]
for every %cld level(s) of caster.""[/center]
[/end]"
1298,"Detect Treasure[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: N/A + N/A per N/A level(s)[/center]
""Caster is able to detect all treasure in a 30' cone[/center]
projected from caster. Chance of success is %bch,[/center]
plus %ach every %cld level(s) of the caster. Spell[/center]
will remain active for %bdr round(s), plus %adr round(s)[/center]
for every %cld level(s) of caster.""[/center]
[/end]"
1299,"Identify[/center]
Duration: N/A + N/A per N/A level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: N/A + N/A per N/A level(s)[/center]
""Identifies the target of the spell. Chance of[/center]
success is %bch, plus %ach every %clc level(s)[/center]
of the caster.""[/center]
[/end]"
1300,"Wizard Sight[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: N/A + N/A per N/A level(s)[/center]
""Allows caster's vision to travel separately from[/center]
his or her body. Chance of success is %bch, plus[/center]
%ach every %clc level(s) of the caster. Spell will[/center]
last for %bdr round(s), plus %adr round(s) for[/center]
every %cld level(s) of caster.""[/center]
[/end]"
1301,"Darkness[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: N/A + N/A per N/A level(s)[/center]
""Darkness created around target. Spell will remain[/center]
for %bdr round(s), plus %adr round(s) for every[/center]
%cld level(s) of caster.""[/center]
[/end]"
1302,"Teleport[/center]
Duration: N/A + N/A per N/A level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: N/A + N/A per N/A level(s)[/center]
""Teleports caster to a chosen location. The caster[/center]
must cast the spell in the designated location initially,[/center]
then will be able to teleport there later. Each casting[/center]
will allow the caster to change the target location of[/center]
the spell. Chance of success is %bch, plus %ach every[/center]
%cld level(s) of the caster.""[/center]
[/end]"
1303,"Soul Trap[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: N/A + N/A per N/A level(s)[/center]
""After death, target's spell becomes trapped in any[/center]
receptacle of the caster indefinitely. Target's body must[/center]
die within %bdr round(s), plus %adr round(s)[/center]
per %cld level(s)[/center]
of the caster after being ensorcelled.[/center]
The chance of successfully trapping a soul is %bch, plus[/center]
%ach every %cld level(s) of the caster""[/center]
[/end]"
1304,"Telekinesis[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: N/A + N/A per N/A level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Telekinesis allows the caster to move objects at[/center]
a distance, by mental exertion. The weight of objects[/center]
that can be moved is %1bm - %2bm kg plus %1am - %2am[/center]
kilos per %clm level(s) of the caster.""[/center]
[/end]"
