Key,Value
nord,Nord
settingsNotApplied,Note: Some changes may not be applied until you restart the game.
doneButton,Done
temple,temple
unknownPowers,Unknown Powers
cannotBeRepaired,This cannot be repaired.
youNeverAwaken,You never awaken.
modSettings,Mod Settings
gameEffectsSettings,Effect Settings
antialiasing,Antialiasing
ambientOcclusion,Ambient Occlusion
bloom,Bloom
motionBlur,Motion Blur
vignette,Vignette
depthOfField,Depth of Field
antialiasingTip,Give a smoother appearance
enable,Enable
fxaa,FXAA
smaa,SMAA
taa,TAA
none,None
method,Method
fxaaFastMode,FXAA Fast Mode
low,Low
medium,Medium
high,High
smaaQuality,SMAA Quality
taaSharpness,TAA Sharpness
disabled,Disabled
setPageDefaults,Set Page Defaults
ambientOcclusionTip,Darkens creases and holes
scalableAmbientObscurance,Scalable Ambient Obscurance
multiScaleVolumetricObscurance,Multi Scale Volumetric Obscurance
scalableAmbient,Scalable Ambient
multiScaleVolumetric,MultiScale Volumetric
intensity,Intensity
lowest,Lowest
ultra,Ultra
radius,Radius
quality,Quality
thickness,Thickness
bloomTip,Make bright areas glow
threshold,Threshold
diffusion,Diffusion
bloomFastMode,Bloom fast mode
motionBlurTip,Simulates objects moving faster than camera exposure
shutterAngle,Shutter Angle
sampleCount,Sample Count
vignetteTip,Darken towards the edges of screen
smoothness,Smoothness
roundness,Roundness
rounded,Rounded
depthOfFieldTip,Simulates focus of camera lens
focusDistance,Focus Distance
aperture,Aperture
focalLength,Focal Length
maxBlurSize,Max Blur Size
small,Small
large,Large
veryLarge,Very Large
ditherTip,Apply noise to reduce large-scale patterns like color banding
dither,Dither
colorBoost,ColorBoost
colorBoostTip,Brightens colors near camera
dungeonScale,Dungeon Scale
interiorScale,Interior Scale
exteriorScale,Exterior Scale
dungeonFalloff,Dungeon Falloff
retroMode,Retro Mode
retroModeTip,Renders world at lower resolutions
mode,Mode
retroModeOff,Off
retroMode320x200,320x200
retroMode640x400,640x400
off,Off
posterizationFull,Posterization (full)
posterizationMinusSky,Posterization (-sky)
palettizationFull,Palettization (full)
palettizationMinusSky,Palettization (-sky)
postProcess,Postprocess
retroModeAspectCorrection,Aspect Ratio Correction
FourThree,4:03
SixteenTen,16:10
notEnoughSpellpointsLeft,You do not have enough spell points left.
totalIdentified,{0} out of {1} identified.
dispelMagicSuccess,Dispel magic was a success...
dispelMagicFailed,Dispel magic failed...
smallerDungeonsChanged,Smaller dungeons changed while inside dungeon. Moving player to dungeon exit.
youNote,You note: 
customName,Custom name: 
StoresA,"%ef's
%cn's Best
The Essential
Lord %ef's
The Adventurer's
The Odd
%ef's Finest
Bargain
Vintage
The Emperor's
%cn
%ef's General
The Superior
%ef's Quality
First Class
The %rt's
The Champion
Doctor %ef's
Lady %ef's"
GeneralStoresB,"Supplies
Supply Store
Gear
Gear Store
Equipment
Equipment Store
Sundries
Provisions
Merchandise
General Store
Retail Store
Trading Post
Market
Wares
Warehouse"
WeaponStoresB,"Weapons
Weaponry
Arms
Armaments
Arsenal
Armsmaker
Blades
Blacksmith
Metalsmith
Weaponsmith"
ArmorStoresB,"Armory
Mail
Shielding
Armor
Shields
Aegis
Metalworks
Blacksmith
Metalsmith
Armorer
Smith
Smithy"
BookStoresB,"Books
Bookstore
Bookshop
Book Dealer
Book Center
Bookseller
Bookstall
Incunabula"
LibraryStoresB,"Library
Bookroom
Athenaeum
Public Library
Historians
Bookroom
Seminary
Lyceum"
ClothingStoresB,"Clothing
Clothes
Garments
Apparel
Costumes
Vestments
Attire
Fashion
Tailoring
Outfits
Finery"
AlchemyStoresB,"Herbs
Potherbs
Spices
Remedies
Antidotes
Physics
Medicines
Potions
Tinctures
Medicaments
Elixirs
Pharmacy
Apothecary
Unguents
Medicinal Agents
Herb Garden
Pharmaceuticals
Chemistry
Chemicals
Experiental Products
Alchemistry
Alchemical Solutions
Metallurgy"
GemStoresB,"Gems
Gemstones
Jewelry
Jewels
Precious Stones
Bijoutry
Jewelers
Jewel Box
Jewelry Shop
Gemcutter"
PawnStoresB,"Pawnshop
Pawnbrokers
Used Supplies
Used Gear
Used Equipment
Used Merchandise
Hockshop
Antiquities"
FurnitureStoresB,"Furniture
Furnishings
Interior Design
Furniture Shop
Decor
Carpentry
Woodworking
Crafts
Woodwork"
LivestockStoresB,"Livestock
Breeders
Farm Animals
Beasts
Creatures
Game
Animalia
Fauna
Menagerie"
TavernsA,"The Queen's
The King's
The Dirty
The Black
The Mole and
The Green
The Red
The Gold
The White
The Silver
The Crimson
The Flying
The Dancing
The Laughing
The Restless
The Thirsty
The Unfortunate
The Lucky
The Devil's
The Rusty
The Howling
The Screaming
The Bat and
The Lion and
The Lynx and
The Dwarf and
The Beaver and
The Fox and
The Mouse and
The Pig and
The Feather and
The Toad and
The Rat and
The Savage
The Knave and
The Dead"
TavernsB,"Chasm
Mug
Pit
Cat
Dog
Goblin
Griffin
Dragon
Ogre
Giant
Djinn
Wolf
Huntsman
Dagger
Skull
Sword
Guard
Dungeon
Helm
Castle
Jug
Bird
Gnome
Hedgehog
Muskrat
Woodchuck
Scorpion
Badger
Goat
Porcupine
Priest
Fawn
Stag
Barbarian
Rascal
Fairy"
houseForSale,House for sale
theBankOf,The Bank of
daggerfall,Daggerfall
wayrest,Wayrest
sentinel,Sentinel
palace,Palace
regionNames,"Alik'r Desert
Dragontail Mountains
Glenpoint Foothills
Daggerfall Bluffs
Yeorth Burrowland
Dwynnen
Ravennian Forest
Devilrock
Malekna Forest
Isle of Balfiera
Bantha
Dak'fron
Islands in the Western Iliac Bay
Tamarilyn Point
Lainlyn Cliffs
Bjoulsae River
Wrothgarian Mountains
Daggerfall
Glenpoint
Betony
Sentinel
Anticlere
Lainlyn
Wayrest
Gen Tem High Rock village
Gen Rai Hammerfell village
Orsinium Area
Skeffington Wood
Hammerfell bay coast
Hammerfell sea coast
High Rock bay coast
High Rock sea coast
Northmoor
Menevia
Alcaire
Koegria
Bhoriane
Kambria
Phrygias
Urvaius
Ykalon
Daenia
Shalgora
Abibon-Gora
Kairou
Pothago
Myrkwasa
Ayasofya
Tigonus
Kozanset
Satakalaam
Totambu
Mournoth
Ephesus
Santaki
Antiphyllos
Bergama
Gavaudon
Tulune
Glenumbra Moors
Ilessan Hills
Cybiades"
ocean,Ocean
unknownUpper,Unknown
switchToRegion,Switch To: {0} Region
locationInRegionProvince,{0} in {1} province
dayNames,"Sundas
Morndas
Tirdas
Middas
Turdas
Fredas
Loredas"
monthNames,"Morning Star
Sun's Dawn
First Seed
Rain's Hand
Second Seed
Midyear
Sun's Height
Last Seed
Hearthfire
Frostfall
Sun's Dusk
Evening Star"
birthSignNames,"The Ritual
The Lover
The Lord
The Mage
The Shadow
The Steed
The Apprentice
The Warrior
The Lady
The Tower
The Atronach
The Thief"
seasonNames,"Fall
Spring
Summer
Winter"
longDateTimeFormatString,"{0:00}:{1:00}:{2:00} on {3}, {4}{5} of {6:00}, 3E{7}"
dateTimeFormatString,"{0:00}:{1:00}:{2:00} on {3}{4} of {5:00}, 3E{6}"
dateFormatString,{0} the {1}{2} of {3:00}
ingredientFormatString,{0} {1}
longWeaponNameFormatString,{0} {1}
longArmorNameFormatString,{0} {1}
strRatings,"pathetic
frail
weak
below average
about average
fairly strong
athletic
very strong
powerful
superhuman"
intRatings,"vegetable-like
idiotic
half-witted
dim
about average
cunning
fairly clever
very intelligent
brilliant
genius"
wilRatings,"inane
submissive
passive
distracted
unassertive
stable
confident
strong-willed
very focused
enlightened"
agiRatings,"oafish
bumbling
clumsy
awkward
about average
spry
nimble
dexterous
very agile
acrobatic"
endRatings,"sickly
pitiable
unsteady
erratic
about average
above average
very healthy
hardy
titanic
immortal"
perRatings,"abhorrent
unpopular
anonymous
unassuming
unremarkable
interesting
charming
arresting
authoritative
charismatic"
spdRatings,"inactive
sluggish
very slow
slow
about average
above average
fast
fleet-footed
lightning-fast
meteoric"
lucRatings,"cursed
hopeless
ill-favored
unfortunate
about average
fairly lucky
lucky
fortunate
very auspicious
divinely favored"
Mage,Mage
Spellsword,Spellsword
Battlemage,Battlemage
Sorcerer,Sorcerer
Healer,Healer
Nightblade,Nightblade
Bard,Bard
Burglar,Burglar
Rogue,Rogue
Acrobat,Acrobat
Thief,Thief
Assassin,Assassin
Monk,Monk
Archer,Archer
Ranger,Ranger
Barbarian,Barbarian
Warrior,Warrior
Knight,Knight
Custom,Custom
darkBrotherhoodRanks,"Apprentice
Journeyman
Operator
Slayer
Executioner
Punisher
Terminator
Assassin
Dark Brother
Master Assassin"
fightersRanks,"Apprentice
Journeyman
Swordsman
Protector
Defender
Warder
Guardian
Champion
Warrior
Master"
knightlyOrderRanks,"Aspirant
Squire
Gallant
Chevalier
Keeper
Knight Brother
Commander
Marshall
Seneschal
Paladin"
magesRanks,"Apprentice
Journeyman
Evoker
Conjurer
Magician
Enchanter
Warlock
Wizard
Master Wizard
Archmage"
templeRanks,"Novice
Initiate
Acolyte
Adept
Curate
Disciple
Brother
Diviner
Master
Patriarch"
thievesRanks,"Apprentice
Journeyman
Filcher
Crook
Robber
Bandit
Thief
Ringleader
Mastermind
Master Thief"
darkSister,Dark Sister
nonMember,non-member
knightSister,Knight Sister
matriarch,Matriarch
sister,Sister
daedricSkill,Daedric
orcishSkill,Orcish
midDateTimeFormatString,{0:00}:{1:00}:{2:00} {3:00} {4:00} 3E{5}
hthDamageFormatString,{0} dmg: {1}-{2}
affiliationFormatString,{0} (rep:{1})
answers_5404,"bow
bow arrow
crossbow
bows
crossbows"
answers_5406,"one
1"
answers_5423,"benefactor
the benefactor"
answers_5424,"shut up
shutup
shaddup"
answers_5464,"yes
ok
i agree
y
agreed
done
fine
okay
sure
yep"
random,Random
nordSurnameImmutableSuffix,sen
confirmDefaultControls,Are you sure you want to set default controls?
saveLoadPromptFormat,{0} for '{1}'
